CVE ID,Hash value,CWE ID,Software,Type of patch statements,Patch statement function,Critical variables,Vulnerability-triggered function,Vulnerability-triggered line numbers,Vulnerability-triggered statements,Type of vulnerability-triggered statements,List of functions from to-be-patched function to vulnerability-triggered function,Cross-function or not,Type of cross-function vulnerabilities,The number of cross-function layers
CVE-2009-1298,bbf31bf18d34caa87dd01f08bf713635593697f2,CWE-119,linux,P-4;,ip_frag_reasm,"[""dev""]",ip_defrag,591,"[""spin_unlock(& qp->q.lock);""]",T-14;,"ip_frag_reasm
ip_frag_queue
ip_defrag",Yes,callee type,3
CVE-2009-1385,ea30e11970a96cfe5e32c03a29332554573b4a10,CWE-189,linux,P-10;,e1000_clean_rx_irq,"[""length""]",e1000_clean_rx_irq,4041,"[""last_byte= * (skb->data + length - 1);""]",T-3;,e1000_clean_rx_irq,No,None,1
CVE-2009-1389,fdd7b4c3302c93f6833e338903ea77245eb510b4,CWE-119,linux,"P-4;
P-8;","rtl_set_rx_max_size
rtl_hw_start_8169
rtl_hw_start_8168
rtl_hw_start_8101","[""tp"", ""rx_buf_sz""]",rtl_set_rx_max_size,2363,"[""RTL_W16(RxMaxSize, 16383);""]",T-1;,"rtl_hw_start_8169
rtl_set_rx_max_size",Yes,caller type,2
CVE-2009-1897,3c8a9c63d5fd738c261bd0ceece04d9c8357ca13,CWE-119,linux,P-2;,tun_chr_poll,"[""sk""]",tun_chr_poll,489,"[""struct sock * sk= tun->sk;""]",T-14;,tun_chr_poll,No,None,1
CVE-2009-2406,6352a29305373ae6196491e6d4669f301e26492e,CWE-119,linux,"P-1;
P-3;
P-9;
P-11;",parse_tag_11_packet,"[""tag_11_contents_size""]",parse_tag_11_packet,1463,"[""memcpy(contents, & data[(* packet_size)], (* tag_11_contents_size));""]",T-1;,parse_tag_11_packet,No,None,1
CVE-2009-2407,f151cd2c54ddc7714e2f740681350476cda03a28,CWE-119,linux,"P-1;
P-3;
P-9;
P-11;",parse_tag_3_packet,"[""new_auth_tok"", ""session_key"", ""encrypted_key_size""]",parse_tag_3_packet,1345,"[""memcpy((* new_auth_tok)->session_key.encrypted_key, & data[(* packet_size)], (* new_auth_tok)->session_key.encrypted_key_size);""]",T-1;,parse_tag_3_packet,No,None,1
CVE-2012-2375,20e0fa98b751facf9a1101edaefbc19c82616a68,CWE-189,linux,P-4;,__nfs4_get_acl_uncached,"[""res"", ""acl_len""]",_copy_from_page,315,"[""memcpy(p, vfrom + pgbase, copy);""]",T-1;,"__nfs4_get_acl_uncached
_copy_from_page",Yes,caller type,2
CVE-2012-2383,ed8cd3b2cd61004cab85380c52b1817aca1ca49b,CWE-189,linux,P-10;,i915_gem_execbuffer2,"[""args"", ""buffer_count""]",i915_gem_execbuffer2,1412,"[""exec2_list= kmalloc(sizeof (* exec2_list) * args->buffer_count, GFP_KERNEL | __GFP_NOWARN | __GFP_NORETRY);""]",T-1;,i915_gem_execbuffer2,No,None,1
CVE-2012-2384,44afb3a04391a74309d16180d1e4f8386fdfa745,CWE-189,linux,"P-9;
P-11;",i915_gem_do_execbuffer,"[""args"", ""num_cliprects""]",i915_gem_do_execbuffer,1136,"[""cliprects= kmalloc(args->num_cliprects * sizeof (* cliprects), GFP_KERNEL);""]",T-1;,i915_gem_do_execbuffer,No,None,1
CVE-2012-2745,79549c6dfda0603dba9a70a53467ce62d9335c33,CWE-119,linux,P-1;,copy_creds,"[""p"", ""replacement_session_keyring""]",__put_cred,162,"[""kdebug(\""__put_cred(% p{ % d, % d}) \"", cred, atomic_read(& cred->usage), read_cred_subscribers(cred));""]",T-1;,"copy_creds
copy_process
exit_creds
put_cred
__put_cred",Yes,callee type,5
CVE-2012-3364,67de956ff5dc1d4f321e16cfbd63f5be3b691b43,CWE-119,linux,P-2;,"nci_extract_rf_params_nfca_passive_poll
nci_extract_rf_params_nfcb_passive_poll
nci_extract_rf_params_nfcf_passive_poll
nci_extract_activation_params_iso_dep","[""nfca_poll"", ""nfcid1_len"", ""nfcb_poll"", ""sensb_res_len"", ""nfcf_poll"", ""sensf_res_len"", ""rats_res_len""]",nci_extract_rf_params_nfca_passive_poll,337,"[""memcpy(nfca_poll->rats_res, data, nfca_poll->rats_res_len);""]",T-1;,nci_extract_rf_params_nfca_passive_poll,No,None,1
CVE-2012-3400,1df2ae31c724e57be9d7ac00d78db8a5dabdd050,CWE-119,linux,"P-8;
P-9;
P-11;","udf_load_sparable_map
udf_load_logicalvol","[""spm"", ""numSparingTables""]",udf_load_logicalvol,1295,"[""loc= le32_to_cpu(spm->locSparingTable[j]);""]",T-2;,udf_load_logicalvol,No,None,1
CVE-2012-3400,adee11b2085bee90bd8f4f52123ffb07882d6256,CWE-119,linux,"P-1;
P-3;
P-5;
P-10;
P-11;",udf_load_logicalvol,"[""offset""]",udf_load_logicalvol,1244,"[""gpm= (struct genericPartitionMap *) & (lvd->partitionMaps[offset]);""]",T-2;,udf_load_logicalvol,No,None,1
CVE-2012-4565,8f363b77ee4fbf7c3bbcf5ec2c5ca482d396d664,CWE-189,linux,"P-2;
P-4;
P-9;",tcp_illinois_info,"[""ca"", ""sum_rtt""]",tcp_illinois_info,318,"[""do_div(t, ca->cnt_rtt);""]",T-4;,tcp_illinois_info,No,None,1
CVE-2012-6704,82981930125abfd39d7c8378a9cfdf5e1be2002b,CWE-119,linux,"P-2;
P-9;","sock_setsockopt
sock_getsockopt","[""v"", ""val""]",sock_getsockopt,1046,"[""if (copy_to_user(optval, & v, len));""]",T-1;,sock_getsockopt,No,None,1
CVE-2013-1773,0720a06a7518c9d0c0125bd5d1f3b6264c55c3dd,CWE-119,linux,"P-1;
P-3;
P-7;
P-8;
P-10;","utf8s_to_utf16s
put_utf16","[""maxlen""]",utf8s_to_utf16s,132,"[""* op++ = (wchar_t) (SURROGATE_PAIR | ((u >> 10) & SURROGATE_BITS));""]",T-3;,utf8s_to_utf16s,No,None,1
CVE-2013-1860,c0f5ecee4e741667b2493c742b60b6218d40b3aa,CWE-119,linux,"P-1;
P-2;
P-4;
P-5;
P-9;","wdm_in_callback
wdm_post_reset","[""desc"", ""reslength""]",wdm_in_callback,189,"[""memmove(desc->ubuf + desc->length, desc->inbuf, desc->reslength);""]",T-1;,wdm_in_callback,No,None,1
CVE-2013-1929,715230a44310a8cf66fbfb5a46f9a62a9b2de424,CWE-119,linux,"P-4;
P-9;",tg3_read_vpd,"[""len""]",tg3_read_vpd,14607,"[""memcpy(tp->fw_ver, & vpd_data[j], len);""]",T-1;,tg3_read_vpd,No,None,1
CVE-2013-2094,8176cced706b5e5d15887584150764894e94e02f,CWE-189,linux,P-2;,perf_swevent_init,"[""event_id""]",perf_swevent_init,5364,"[""static_key_slow_inc(& perf_swevent_enabled[event_id]);""]",T-2;,perf_swevent_init,No,None,1
CVE-2013-2234,a5cc68f3d63306d0d288f31edfc2ae6ef8ecd887,CWE-119,linux,P-1;,"key_notify_sa_flush
key_notify_policy_flush","[""hdr"", ""sadb_msg_reserved""]",,198,"[""* skb2= skb_clone(skb, allocation);""]",T-1;,"key_notify_sa_flush
pfkey_broadcast
pfkey_broadcast_one
",Yes,caller type,3
CVE-2013-2237,85dfb745ee40232876663ae206cba35f24ab2a40,CWE-119,linux,P-1;,key_notify_policy_flush,"[""hdr"", ""sadb_msg_satype""]",pfkey_broadcast_one,198,"[""* skb2= skb_clone(skb, allocation);""]",T-1;,"key_notify_policy_flush
pfkey_broadcast
pfkey_broadcast_one",Yes,caller type,3
CVE-2013-2850,cea4dcfdad926a27a18e188720efe0f2c9403456,CWE-119,linux,"P-1;
P-4;","iscsi_add_notunderstood_response
iscsi_decode_text_input",[],iscsi_add_notunderstood_response,761,"[""strncpy(extra_response->key, key, strlen(key) + 1);""]",T-1;,iscsi_add_notunderstood_response,No,None,1
CVE-2017-12999,3b32029db354cbc875127869d9b12a9addc75b50,CWE-125,tcpdump,P-3;,isis_print,"[""alen"", ""tptr""]",lookup_nsap,460,"[""if (nsap_length= == tp->e_nsap[0] && tp->e_addr0= == i && tp->e_addr1= == j && tp->e_addr2= == k && memcmp((const char *) nsap, (char *) & (tp->e_nsap[1]), nsap_length)= == 0);""]",T-1;,"isis_print
isonsap_string
lookup_nsap",Yes,caller type,3
CVE-2017-13000,8512734883227c11568bb35da1d48b9f8466f43f,CWE-125,tcpdump,P-4;,ieee802_15_4_if_print,"[""p""]",ieee802_15_4_if_print,125,"[""ND_PRINT((ndo, \"" % 04x : % 04x \"", panid, EXTRACT_LE_16BITS(p + 2)));""]",T-1;,ieee802_15_4_if_print,No,None,1
CVE-2017-13000,a7e5f58f402e6919ec444a57946bade7dfd6b184,CWE-125,tcpdump,P-4;,ieee802_15_4_if_print,"[""p"", ""panid"", ""ndo""]",lookup_bytestring,417,"[""memcmp((const char *) bs, (const char *) (tp->bs_bytes), nlen)= == 0);""]",T-1;,"ieee802_15_4_if_print
le64addr_string
lookup_bytestring",Yes,caller type,3
CVE-2017-13001,7a923447fd49a069a0fd3b6c3547438ab5ee2123,CWE-125,tcpdump,"P-4;
P-5;
P-6;
P-9;",nfs_printfh,"[""temp"", ""sfsname""]",nfs_printfh,813,"[""strncpy(temp, sfsname, NFSX_V3FHMAX);""]",T-1;,nfs_printfh,No,None,1
CVE-2017-13002,cbddb98484ea8ec1deece351abd56e063d775b38,CWE-125,tcpdump,"P-3;
P-9;
P-11;",aodv_extension,"[""ep"", ""length""]",aodv_extension,190,"[""switch (ep->type) {;""]",T-14;,aodv_extension,No,None,1
CVE-2017-13003,a25211918f2e790c67d859d20ccf8dbb81da1598,CWE-125,tcpdump,"P-6;
P-9;
P-11;","lmp_print_data_link_subobjs
lmp_print","[""link_type""]",lmp_print,767,"[""link_type= EXTRACT_16BITS(obj_tptr) >> 8;""]",T-1;,lmp_print,No,None,1
CVE-2017-13004,42073d54c53a496be40ae84152bbfe2c923ac7bc,CWE-125,tcpdump,P-3;,juniper_parse_header,"[""p"", ""l2info"", ""cookie_len""]",juniper_parse_header,1371,"[""l2info->proto= EXTRACT_16BITS(p + l2info->cookie_len);""]",T-1;,juniper_parse_header,No,None,1
CVE-2017-13005,b45a9a167ca6a3ef2752ae9d48d56ac14b001bfd,CWE-125,tcpdump,"P-9;
P-11;",xid_map_enter,"[""rp"", ""rm_call"", ""cb_proc"", ""cb_vers""]",xid_map_enter,902,"[""xmep->proc= EXTRACT_32BITS(& rp->rm_call.cb_proc);""]",T-1;,xid_map_enter,No,None,1
CVE-2017-13008,5edf405d7ed9fc92f4f43e8a3d44baa4c6387562,CWE-125,tcpdump,"P-4;
P-9;
P-11;",parse_elements,"[""length""]",parse_elements,1192,"[""memcpy(tim.bitmap, p + offset + 3, tim.length - 3);""]",T-1;,parse_elements,No,None,1
CVE-2017-13010,877b66b398518d9501513e0860c9f3a8acc70892,CWE-125,tcpdump,"P-8;
P-9;
P-10;
P-11;","l_strnstart
beep_print","[""tstr1"", ""tl1"", ""str2""]",l_strnstart,37,"[""return (strncmp(tstr1, str2, tl1)= == 0 ? 1 : 0);""]",T-1;,l_strnstart,No,None,1
CVE-2017-13012,8509ef02eceb2bbb479cea10fe4a7ec6395f1a8b,CWE-125,tcpdump,P-3;,icmp_print,"[""ip"", ""ip_len""]",icmp_print,584,"[""ip_print(ndo, bp, EXTRACT_16BITS(& ip->ip_len));""]",T-1;,icmp_print,No,None,1
CVE-2017-13013,13ab8d18617d616c7d343530f8a842e7143fb5cc,CWE-125,tcpdump,"P-3;
P-4;
P-7;
P-9;
P-10;","tpaddr_print_ip
spaddr_print_ip
atmarp_tpaddr_print
atmarp_spaddr_print
atmarp_print
arp_print","[""ndo""]",getname,245,"[""memcpy(& addr, ap, sizeof (addr));"", ""……很多个同样的语句（不同位置）;""]",T-1;,"atmarp_print
ipaddr_string
getname",Yes,caller type,3
CVE-2015-8745,c6048f849c7e3f009786df76206e895a69de032c,CWE-617,qemu,"P-1;
P-3;
P-11;",vmxnet3_io_bar0_read,"[""s"", ""l""]",vmxnet3_io_bar0_read,1168,"[""g_assert_not_reached();""]",T-5;, vmxnet3_io_bar0_read,No,None,1
CVE-2013-0853,be818df547c3b0ae4fadb50fd210139a8636706a,CWE-189,ffmpeg,"P-1;
P-2;",wavpack_decode_frame,"[""s"", ""frame"", ""nb_samples""]",av_samples_get_buffer_size,"[415, 428]","[""if (!(buf->data[0]= av_mallocz(buf_size)));"", ""memcpy(buf->data, frame->data, sizeof (frame->data));""]",T-1;,"wavpack_decode_frame
get_buffer
avcodec_default_get_buffer
audio_get_buffer
av_samples_get_buffer_size",Yes,caller type,5
CVE-2015-8631,83ed75feba32e46f736fcce0d96a0445f29b96c2,CWE-772,krb5,"P-2;
P-4;","create_principal_2_svc
create_principal3_2_svc
delete_principal_2_svc
modify_principal_2_svc
rename_principal_2_svc
get_principal_2_svc
get_princs_2_svc
chpass_principal_2_svc
chpass_principal3_2_svc
setv4key_principal_2_svc
setkey_principal_2_svc
setkey_principal3_2_svc
chrand_principal_2_svc
chrand_principal3_2_svc
create_policy_2_svc
delete_policy_2_svc
modify_policy_2_svc
get_policy_2_svc
get_pols_2_svc
get_privs_2_svc
purgekeys_2_svc
get_strings_2_svc
set_string_2_svc
init_2_svc","[""client_name"", ""service_name""]",init_2_svc,1804,"[""return (& ret);""]",T-10;,init_2_svc,No,None,1
CVE-2016-7466,b53dd4495ced2432a0b652ea895e651d07336f7e,CWE-772,qemu,P-4;,usb_xhci_exit,"[""xhci"", ""mem"", ""dev"", ""msix_table_mmio""]",usb_xhci_exit,3722,"[""usb_bus_release(& xhci->bus);""]",T-11;,usb_xhci_exit,No,None,1
CVE-2016-7995,b16c129daf0fed91febbb88de23dae8271c8898a,CWE-772,qemu,P-3;,ehci_process_itd,"[""ehci"", ""isgl""]",ehci_process_itd,1429,"[""return - 1;"", ""/ * avoid page pg + 1 * /;""]",T-10;,ehci_process_itd,No,None,1
CVE-2016-8577,e95c9a493a5a8d6f969e86c9f19f80ffe6587e19,CWE-772,qemu,P-11;,v9fs_read,"[""无关键变量""]",v9fs_read,1846,"[""put_fid(pdu, fidp);""]",T-11;,v9fs_read,No,None,1
CVE-2016-9102,ff55e94d23ae94c8628b0115320157c763eb3e06,CWE-772,qemu,P-3;,v9fs_xattrcreate,"[""xattr_fidp"", ""fs"", ""xattr"", ""value""]",v9fs_xattrcreate,3290,"[""v9fs_string_free(& name);""]",T-11;,v9fs_xattrcreate,No,None,1
CVE-2016-9105,4c1586787ff43c9acd18a56c12d720e3e6be9f7c,CWE-772,qemu,P-3;,v9fs_link,"[""pdu"", ""oldfidp""]",v9fs_link,2420,"[""pdu_complete(pdu, err);""]",T-11;,v9fs_link,No,None,1
CVE-2016-9106,fdfcc9aeea1492f4b819a24c94dfb678145b1bf9,CWE-772,qemu,P-11;,v9fs_write,"[""无关键变量""]",v9fs_write,2100,"[""put_fid(pdu, fidp);""]",T-11;,v9fs_write,No,None,1
CVE-2017-11310,8ca35831e91c3db8c6d281d09b605001003bec08,CWE-772,ImageMagick,P-1;,ProcessMSLScript,"[""profile""]",ProcessMSLScript,"[1907, 1920]","[""return (- 1);"", ""return (1);""]",T-10;,ProcessMSLScript,No,None,1
CVE-2017-12427,e793eb203e5e0f91f5037aed6585e81b1e27395b,CWE-772,ImageMagick,"P-1;
P-11;","read_user_chunk_callback
ReadOnePNGImage","[""msl_info"", ""image_info""]",read_user_chunk_callback,"[7910, 7909]","[""return (MagickTrue);""]",T-10;,read_user_chunk_callback,No,None,1
CVE-2017-15032,241988ca28139ad970c1d9717c419f41e360ddb0,CWE-772,ImageMagick,P-1;,ReadYCBCRImage,"[""canvas_image""]",ReadYCBCRImage,215,"[""return (DestroyImageList(image));""]",T-10;,ReadYCBCRImage,No,None,1
CVE-2017-15033,ef8f40689ac452398026c07da41656a7c87e4683,CWE-772,ImageMagick,"P-1;
P-4;",ReadYUVImage,"[""scanline""]",ReadYUVImage,"[231, 495, 403, 357]","[""return ((Image *) NULL);""]",T-10;,ReadYUVImage,No,None,1
CVE-2017-7377,d63fb193e71644a073b77ff5ac6f1216f2f6cf6e,CWE-772,qemu,"P-1;
P-9;","v9fs_lcreate
v9fs_create","[""fidp"", ""fid_type""]",v9fs_lcreate,"[1582, 2292]","[""v9fs_string_free(& name);"", ""v9fs_path_free(& path);""]",T-11;,v9fs_lcreate,No,None,1
CVE-2017-8086,4ffcdef4277a91af15a3c09f7d16af072c29f3f2,CWE-772,qemu,P-3;,v9fs_list_xattr,"[""orig_value""]",v9fs_list_xattr,111,"[""return - 1;""]",T-10;,v9fs_list_xattr,No,None,1
CVE-2018-16640,76efa969342568841ecf320b5a041685a6d24e0b,CWE-772,ImageMagick,P-4;,ReadOneJNGImage,"[""color_image"", ""color_image_info"", ""alpha_image"", ""alpha_image_info""]",ReadOneJNGImage,4696,"[""return (DestroyImageList(image));""]",T-10;,ReadOneJNGImage,No,None,1
CVE-2018-16641,256825d4eb33dc301496710d15cf5a7ae924088b,CWE-772,ImageMagick,P-1;,TIFFWritePhotoshopLayers,"[""base_image""]",TIFFWritePhotoshopLayers,3181,"[""return (status);""]",T-10;,TIFFWritePhotoshopLayers,No,None,1
CVE-2016-9913,4774718e5c194026ba5ee7a28d9be49be3080e42,CWE-401,qemu,P-4;,v9fs_device_realize_common,"[""s"", ""ctx"", ""fs_root""]",v9fs_device_realize_common,3528,"[""return rc;""]",T-10;,v9fs_device_realize_common,No,None,1
CVE-2016-9914,702dbcc274e2ca43be20ba64c758c0ca57dab91d,CWE-401,qemu,"P-3;
P-9;","v9fs_device_realize_common
v9fs_device_unrealize_common","[""s"", ""ctx""]",v9fs_device_realize_common,3528,"[""return rc;""]",T-10;,v9fs_device_realize_common,No,None,1
CVE-2017-5552,33243031dad02d161225ba99d782616da133f689,CWE-401,qemu,"P-3;
P-4;
P-9;",virgl_resource_attach_backing,"[""res_iovs"", ""att_rb""]",virgl_resource_attach_backing,295,"[""virgl_renderer_resource_attach_iov(att_rb.resource_id, res_iovs, att_rb.nr_entries);""]",T-11;,virgl_resource_attach_backing,No,None,1
CVE-2017-5578,204f01b30975923c64006f8067f0937b91eea68b,CWE-401,qemu,"P-1;
P-9;
P-11;",virtio_gpu_resource_attach_backing,"[""res"", ""iov""]",virtio_gpu_resource_attach_backing,720,"[""return;""]",T-10;,virtio_gpu_resource_attach_backing,No,None,1
CVE-2017-5579,8409dc884a201bf74b30a9d232b6bbdd00cb7e2b,CWE-401,qemu,P-3;,serial_realize_core,"[""s"", ""modem_status_poll"", ""fifo_timeout_timer"", ""recv_fifo"", ""xmit_fifo""]",serial_realize_core,909,"[""qemu_unregister_reset(serial_reset, s);""]",T-11;,serial_realize_core,No,None,1
CVE-2017-5856,765a707000e838c30b18d712fe6cb3dd8e0435f3,CWE-401,qemu,"P-1;
P-5;","megasas_map_dcmd
megasas_handle_dcmd","[""len""]",megasas_handle_dcmd,1570,"[""return MFI_STAT_MEMORY_NOT_AVAILABLE;""]",T-10;,megasas_handle_dcmd,No,None,1
CVE-2017-5857,5e8e3c4c75c199aa1017db816fca02be2a9f8798,CWE-401,qemu,"P-3;
P-5;
P-9;",virgl_cmd_resource_unref,"[""unref"", ""resource_id""]",virgl_cmd_resource_unref,84,"[""virgl_renderer_resource_unref(unref.resource_id);""]",T-11;,virgl_cmd_resource_unref,No,None,1
CVE-2017-9060,dd248ed7e204ee8a1873914e02b8b526e8f1b80d,CWE-401,qemu,P-3;,virtio_gpu_set_scanout,"[""rect""]",virtio_gpu_set_scanout,609,"[""return;""]",T-10;,virtio_gpu_set_scanout,No,None,1
CVE-2017-9373,d68f0f778e7f4fbd674627274267f269e40f0b04,CWE-401,qemu,"P-1;
P-3;
P-5;
P-9;",ahci_realize,"[""s"", ""dev""]",ahci_realize,1488,"[""g_free(s->dev);""]",T-11;,ahci_realize,No,None,1
CVE-2019-13133,fe3066122ef72c82415811d25e9e3fad622c0a99,CWE-401,ImageMagick,P-11;,ReadBMPImage,[],ReadBMPImage,1509,"[""return ((Image *) NULL);""]",T-10;,ReadBMPImage,No,None,1
CVE-2019-13134,fe3066122ef72c82415811d25e9e3fad622c0a99,CWE-401,ImageMagick,"P-2;
P-11;",ReadVIFFImage,"[""image""]",ReadVIFFImage,777,"[""return ((Image *) NULL);""]",T-10;,ReadVIFFImage,No,None,1
CVE-2019-13137,35ccb468ee2dcbe8ce9cf1e2f1957acc27f54c34,CWE-401,ImageMagick,P-1;,ReadPSImage,"[""page_geometry""]",ReadPSImage,748,"[""return ((Image *) NULL);""]",T-10;,ReadPSImage,No,None,1
CVE-2019-13296,ce08a3691a8ac29125e29fc41967b3737fa3f425,CWE-401,ImageMagick,P-1;,MagickBooleanType,"[""image""]",MagickBooleanType,4598,"[""return (status= == 0 ? MagickFalse : MagickTrue);""]",T-10;,MagickBooleanType,No,None,1
CVE-2019-13301,f595a1985233c399a05c0c37cc41de16a90dd025,CWE-401,ImageMagick,"P-1;
P-11;",AnnotateImage,"[""annotate"", ""annotate_info""]",AnnotateImage,"[277, 306]","[""return (MagickFalse);"", ""return (MagickFalse);""]",T-10;,AnnotateImage,No,None,1
CVE-2019-13309,5f21230b657ccd65452dd3d94c5b5401ba691a2d,CWE-401,ImageMagick,"P-1;
P-4;",CLIListOperatorImages,"[""insert_image""]",CLIListOperatorImages,4601,"[""return (status= == 0 ? MagickFalse : MagickTrue);""]",T-10;,CLIListOperatorImages,No,None,1
CVE-2019-13310,5f21230b657ccd65452dd3d94c5b5401ba691a2d,CWE-401,ImageMagick,P-1;,MogrifyImageList,"[""reconstruct_image"", ""image"", ""p""]",MogrifyImageList,8845,"[""return (status != 0 ? MagickTrue : MagickFalse);""]",T-10;,MogrifyImageList,No,None,1
CVE-2019-7175,1e6a3ace073c9ec9c71e439c111d23c6e66cb6ae,CWE-401,ImageMagick,"P-1;
P-9;",DecodeImage,"[""j""]",DecodeImage,218,"[""return (MagickFalse);""]",T-10;,DecodeImage,No,None,1
CVE-2019-7395,8a43abefb38c5e29138e1c9c515b313363541c06,CWE-401,ImageMagick,P-1;,WritePSDChannel,"[""compressed_pixels""]",WritePSDChannel,2785,"[""return (0);""]",T-10;,WritePSDChannel,No,None,1
CVE-2019-7396,748a03651e5b138bcaf160d15133de2f4b1b89ce,CWE-401,ImageMagick,P-1;,ReadSIXELImage,"[""sixel_pixels""]",ReadSIXELImage,1070,"[""return (DestroyImageList(image));""]",T-10;,ReadSIXELImage,No,None,1
CVE-2019-7397,306c1f0fa5754ca78efd16ab752f0e981d4f6b82,CWE-401,ImageMagick,"P-1;
P-4;",RestoreMSCWarning,"[""xref""]",RestoreMSCWarning,"[2085, 2182]","[""return (MagickFalse);"", ""return (MagickFalse);""]",T-10;,RestoreMSCWarning,No,None,1
CVE-2015-8900,97aa7d7cfd2027f6ba7ce42caf8b798541b9cdc6,CWE-835,ImageMagick,"P-2;
P-4;
P-10;",ReadHDRImage,"[""c""]",ReadHDRImage,277,"[""while ((c != '\\n') && (c != '\\0'));""]",T-7;,ReadHDRImage,No,None,1
CVE-2016-7908,070c4b92b8cd5390889716677a0b92444d6e087a,CWE-835,qemu,"P-5;
P-10;",mcf_fec_do_tx,"[""descnt""]",mcf_fec_do_tx,160,"[""while (1) {;""]",T-7;,mcf_fec_do_tx,No,None,1
CVE-2017-11523,83e0f8ffd7eeb7661b0ff83257da23d24ca7f078,CWE-835,ImageMagick,"P-3;
P-9;",ReadTXTImage,"[""image""]",ReadTXTImage,437,"[""do;""]",T-7;,ReadTXTImage,No,None,1
CVE-2017-12989,db24063b01cba8e9d4d88b7d8ac70c9000c104e4,CWE-835,tcpdump,P-1;,resp_get_length,"[""bp""]",resp_get_length,478,"[""for (;"", "") {;""]",T-7;,resp_get_length,No,None,1
CVE-2017-12995,3a76fd7c95fced2c2f8c8148a9055c3a542eff29,CWE-835,tcpdump,"P-2;
P-5;
P-6;",ns_nprint,"[""chars_processed"", ""cp"", ""data_size""]",ns_nprint,169,"[""while (i && cp < ndo->ndo_snapend) {;""]",T-7;,ns_nprint,No,None,1
