cve_id,variable,cohort,tier,has_local_rejection,escaped_outside_vff,recovery_source,trigger_found,func_hit,exact_line,explicit_retry_used,rejection_count,rejection_kind,rejection_function,rejection_sink_line,rejection_sink_family,rejection_statement,gt_function,patch_functions,final_trigger_function,final_trigger_line,gt_line,pred_line,first_rejection_line_no,result_dir,log_path
CVE-2014-9673,pfb_pos,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,False,3,hard_reject,Mac_Read_POST_Resource,1669,arithmetic,pfb_len += temp + 6;,Mac_Read_POST_Resource,Mac_Read_POST_Resource,Mac_Read_POST_Resource,1669,1669,1669,450,/users/azibaeir/Research/Autotrace/results/CVE-2014-9673,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9673.log
CVE-2014-9673,rlen,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,False,3,hard_reject,Mac_Read_POST_Resource,1669,arithmetic,pfb_len += temp + 6;,Mac_Read_POST_Resource,Mac_Read_POST_Resource,Mac_Read_POST_Resource,1669,1669,1669,315,/users/azibaeir/Research/Autotrace/results/CVE-2014-9673,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9673.log
CVE-2016-7908,length,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,3,soft_reject,mcf_fec_do_tx,160,control,while (1) {,mcf_fec_do_tx,mcf_fec_do_tx,mcf_fec_do_tx,160,160,160,290,/users/azibaeir/Research/Autotrace/results/CVE-2016-7908,/users/azibaeir/Research/Autotrace/logs/CVE-2016-7908.log
CVE-2017-18344,event,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,True,3,soft_reject,common_timer_set,2274,unknown,nstr[notify & ~SIGEV_THREAD_ID],show_timer,good_sigevent; common_timer_get; common_timer_set,good_sigevent,2274,2274,2274,526,/users/azibaeir/Research/Autotrace/results/CVE-2017-18344,/users/azibaeir/Research/Autotrace/logs/CVE-2017-18344.log
CVE-2017-8363,metadata,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,3,soft_reject,sf_flac_meta_callback,437,memory_read,switch (metadata->data.stream_info.bits_per_sample,sf_flac_meta_callback,sf_flac_meta_callback,sf_flac_meta_callback,437,437,437,641,/users/azibaeir/Research/Autotrace/results/CVE-2017-8363,/users/azibaeir/Research/Autotrace/logs/CVE-2017-8363.log
CVE-2018-8043,start,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,3,soft_reject,unimac_mdio_probe,212,memory_write,"priv->base = devm_ioremap(&pdev->dev, r->start, re",unimac_mdio_probe,unimac_mdio_probe,unimac_mdio_probe,212,212,212,218,/users/azibaeir/Research/Autotrace/results/CVE-2018-8043,/users/azibaeir/Research/Autotrace/logs/CVE-2018-8043.log
CVE-2012-1016,rep,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,pkinit_server_return_padata,1020,unknown,"retval = pkinit_alg_agility_kdf(context, &secret,",pkinit_server_return_padata,pkinit_server_return_padata,pkinit_server_return_padata,1020,1020,1020,754,/users/azibaeir/Research/Autotrace/results/CVE-2012-1016,/users/azibaeir/Research/Autotrace/logs/CVE-2012-1016.log
CVE-2012-5669,glyph_enc,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,2,soft_reject,_bdf_parse_glyphs,1644,memory_read,"if ( _bdf_glyph_modified( p->have, p->glyph_enc )",_bdf_parse_glyphs,_bdf_parse_glyphs,_bdf_parse_glyphs,1644,1644,1644,404,/users/azibaeir/Research/Autotrace/results/CVE-2012-5669,/users/azibaeir/Research/Autotrace/logs/CVE-2012-5669.log
CVE-2013-0848,avctx,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,decode_init,398,allocation,s->temp[0]= av_mallocz(4*s->width + 16);,alloc_temp,decode_init,decode_init,398,398,398,336,/users/azibaeir/Research/Autotrace/results/CVE-2013-0848,/users/azibaeir/Research/Autotrace/logs/CVE-2013-0848.log
CVE-2013-0848,width,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,decode_init,398,allocation,s->temp[0]= av_mallocz(4*s->width + 16);,alloc_temp,decode_init,decode_init,398,398,398,409,/users/azibaeir/Research/Autotrace/results/CVE-2013-0848,/users/azibaeir/Research/Autotrace/logs/CVE-2013-0848.log
CVE-2016-3178,server,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,processRequest,1004,memory_write,"memcpy(newserv->server, p, l);",processRequest,processRequest,processRequest,1004,964,1004,524,/users/azibaeir/Research/Autotrace/results/CVE-2016-3178,/users/azibaeir/Research/Autotrace/logs/CVE-2016-3178.log
CVE-2017-13039,ep,Layer 1 soft reject,A,True,False,failure,False,True,True,False,2,soft_reject,ikev2_t_print,923,memory_read,totlen = 4 + EXTRACT_16BITS(&p[2]);,ikev1_t_print,ikev1_attrmap_print; ikev1_attr_print; ikev1_t_print; ikev1_n_print; ikev2_t_print,,0,924,924,729,/users/azibaeir/Research/Autotrace/results/CVE-2017-13039,/users/azibaeir/Research/Autotrace/logs/CVE-2017-13039.log
CVE-2017-13039,totlen,Layer 1 soft reject,A,True,False,failure,False,True,True,False,2,soft_reject,ikev1_t_print,923,memory_read,totlen = 4 + EXTRACT_16BITS(&p[2]);,ikev1_t_print,ikev1_attrmap_print; ikev1_attr_print; ikev1_t_print; ikev1_n_print; ikev2_t_print,,0,924,924,551,/users/azibaeir/Research/Autotrace/results/CVE-2017-13039,/users/azibaeir/Research/Autotrace/logs/CVE-2017-13039.log
CVE-2017-8064,name,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,False,2,hard_reject,dvb_usbv2_disconnect,1026,memory_write,struct device dev = d->udev->dev;,dvb_usbv2_disconnect,dvb_usbv2_disconnect,dvb_usbv2_disconnect,1026,1026,1026,298,/users/azibaeir/Research/Autotrace/results/CVE-2017-8064,/users/azibaeir/Research/Autotrace/logs/CVE-2017-8064.log
CVE-2018-10768,inkList,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,AnnotInk::draw,6154,memory_read,if (path->getCoordsLength() != 0) {,AnnotInk::draw,AnnotInk::draw,AnnotInk::draw,6154,6154,6154,423,/users/azibaeir/Research/Autotrace/results/CVE-2018-10768,/users/azibaeir/Research/Autotrace/logs/CVE-2018-10768.log
CVE-2018-11379,file_name,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,False,2,hard_reject,get_debug_info,2780,unknown,"get_nb10 (dbg_data, &nb10_hdr);",get_debug_info,get_nb10; get_debug_info,get_debug_info,2780,2735,2780,908,/users/azibaeir/Research/Autotrace/results/CVE-2018-11379,/users/azibaeir/Research/Autotrace/logs/CVE-2018-11379.log
CVE-2018-11384,len,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,sh_op,776,memory_write,op_MSB = anal->big_endian? data[0]: data[1];,sh_op,sh_op,sh_op,776,776,776,199,/users/azibaeir/Research/Autotrace/results/CVE-2018-11384,/users/azibaeir/Research/Autotrace/logs/CVE-2018-11384.log
CVE-2018-14395,channels,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,2,soft_reject,mov_write_audio_tag,1108,arithmetic,"avio_wb32(pb, track->sample_size / track->par->cha",mov_write_audio_tag,mov_write_audio_tag,mov_write_audio_tag,1108,1108,1108,447,/users/azibaeir/Research/Autotrace/results/CVE-2018-14395,/users/azibaeir/Research/Autotrace/logs/CVE-2018-14395.log
CVE-2018-16542,osp,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,gs_call_interp,678,memory_read,*++osp = *perror_object;,gs_call_interp,gs_call_interp,gs_call_interp,679,679,679,1219,/users/azibaeir/Research/Autotrace/results/CVE-2018-16542,/users/azibaeir/Research/Autotrace/logs/CVE-2018-16542.log
CVE-2018-8905,op,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,2,soft_reject,LZWDecodeCompat,761,memory_read,*--tp = codep->value;,LZWDecodeCompat,LZWDecodeCompat,LZWDecodeCompat,761,761,761,1221,/users/azibaeir/Research/Autotrace/results/CVE-2018-8905,/users/azibaeir/Research/Autotrace/logs/CVE-2018-8905.log
CVE-2019-13454,images,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,RemoveDuplicateLayers,1610,memory_read,time = curr->delay*1000/curr->ticks_per_second;,RemoveDuplicateLayers,RemoveDuplicateLayers,RemoveDuplicateLayers,1629,1629,1629,788,/users/azibaeir/Research/Autotrace/results/CVE-2019-13454,/users/azibaeir/Research/Autotrace/logs/CVE-2019-13454.log
CVE-2019-8906,n_descsz,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,2,soft_reject,do_core_note,755,memory_write,"memcpy(&pi, nbuf + doff, descsz);",do_core_note,do_core_note,do_core_note,755,755,755,844,/users/azibaeir/Research/Autotrace/results/CVE-2019-8906,/users/azibaeir/Research/Autotrace/logs/CVE-2019-8906.log
CVE-2012-0856,height,Layer 1 soft reject,A,True,False,failure,False,True,True,False,1,soft_reject,MPV_frame_start,1236,memory_write,memset(s->last_picture_ptr->f.data[0] + s->last_pi,MPV_frame_start,MPV_frame_start,,0,1235,1236,563,/users/azibaeir/Research/Autotrace/results/CVE-2012-0856,/users/azibaeir/Research/Autotrace/logs/CVE-2012-0856.log
CVE-2014-0207,sst_len,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,1,soft_reject,cdf_read_short_sector,361,memory_write,"(void)memcpy(((char *)buf) + offs, ((const char *)",cdf_read_short_sector,cdf_read_short_sector,cdf_read_short_sector,361,361,361,2064,/users/azibaeir/Research/Autotrace/results/CVE-2014-0207,/users/azibaeir/Research/Autotrace/logs/CVE-2014-0207.log
CVE-2014-8176,rdata,Layer 1 soft reject,A,True,False,same_function_retry,True,True,True,False,1,soft_reject,dtls1_clear_queues,207,arithmetic,OPENSSL_free(frag->fragment);,dtls1_clear_queues,dtls1_clear_queues,dtls1_clear_queues,206,206,206,433,/users/azibaeir/Research/Autotrace/results/CVE-2014-8176,/users/azibaeir/Research/Autotrace/logs/CVE-2014-8176.log
CVE-2014-9667,table,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,False,1,hard_reject,check_table_dir,210,memory_read,offset + ( nn + 1 ) * 16,check_table_dir,check_table_dir; tt_face_load_font_dir,check_table_dir,210,210,210,290,/users/azibaeir/Research/Autotrace/results/CVE-2014-9667,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9667.log
CVE-2016-10172,bytecnt,Layer 1 soft reject,A,True,True,same_function_retry,True,True,True,False,1,soft_reject,read_new_config_info,565,memory_write,wpc->config.qmode = (wpc->config.qmode & ~0xff) |,read_new_config_info,read_new_config_info,read_new_config_info,565,565,565,647,/users/azibaeir/Research/Autotrace/results/CVE-2016-10172,/users/azibaeir/Research/Autotrace/logs/CVE-2016-10172.log
CVE-2016-10328,parser,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,True,1,hard_reject,cff_parser_run,1430,memory_read,*parser->top = p;,cff_parser_run,cff_parser_run,cff_parser_run,1430,1430,1430,437,/users/azibaeir/Research/Autotrace/results/CVE-2016-10328,/users/azibaeir/Research/Autotrace/logs/CVE-2016-10328.log
CVE-2017-13012,ip,Layer 1 hard reject,A,True,False,same_function_retry,True,True,True,True,1,hard_reject,icmp_print,0,memory_read,"ip_print(ndo, bp, EXTRACT_16BITS(&ip->ip_len));",icmp_print,icmp_print,icmp_print,584,584,584,281,/users/azibaeir/Research/Autotrace/results/CVE-2017-13012,/users/azibaeir/Research/Autotrace/logs/CVE-2017-13012.log
CVE-2019-11040,size,Layer 1 soft reject,A,True,False,failure,False,False,True,False,4,soft_reject,exif_scan_thumbnail,1437,memory_read,return (((uchar *)value)[0] << 8) | ((uchar *)valu,php_jpg_get16,exif_scan_thumbnail,,0,1437,1437,684,/users/azibaeir/Research/Autotrace/results/CVE-2019-11040,/users/azibaeir/Research/Autotrace/logs/CVE-2019-11040.log
CVE-2017-13027,oid_len,Layer 1 soft reject,A,True,False,failure,False,False,True,False,2,soft_reject,safeputs,920,memory_read,while (idx < maxlen && *s) {,safeputs,lldp_mgmt_addr_tlv_print,,0,920,920,532,/users/azibaeir/Research/Autotrace/results/CVE-2017-13027,/users/azibaeir/Research/Autotrace/logs/CVE-2017-13027.log
CVE-2010-3880,bc,Layer 1 soft reject,A,True,True,failure,False,False,True,False,1,soft_reject,inet_csk_diag_dump,358,control,while (len > 0) {,inet_diag_dump_reqs,inet_csk_diag_dump; inet_twsk_diag_dump; inet_diag_dump_reqs,,0,358,358,412,/users/azibaeir/Research/Autotrace/results/CVE-2010-3880,/users/azibaeir/Research/Autotrace/logs/CVE-2010-3880.log
CVE-2014-0207,str,Layer 1 soft reject,A,True,True,outward_expansion,True,True,False,True,19,soft_reject,cdf_read_short_sector,361,memory_write,"(void)memcpy(((char *)buf) + offs, ((const char *)",cdf_read_short_sector,cdf_read_short_sector,asprintf,355,361,355,693,/users/azibaeir/Research/Autotrace/results/CVE-2014-0207,/users/azibaeir/Research/Autotrace/logs/CVE-2014-0207.log
CVE-2018-13785,row_factor,Layer 1 soft reject,A,True,True,outward_expansion,True,True,False,False,11,soft_reject,png_check_chunk_length,3171,memory_read,if (png_ptr->height > PNG_UINT_32_MAX/row_factor),png_check_chunk_length,png_check_chunk_length,modifier_read_imp,3171,3175,3171,369,/users/azibaeir/Research/Autotrace/results/CVE-2018-13785,/users/azibaeir/Research/Autotrace/logs/CVE-2018-13785.log
CVE-2012-1146,primary,Layer 1 soft reject,A,True,True,same_function_retry,True,True,False,False,7,soft_reject,mem_cgroup_usage_unregister_event,4424,memory_write,for (i = 0; i < thresholds->primary->size; i++) {,mem_cgroup_usage_unregister_event,mem_cgroup_usage_unregister_event,mem_cgroup_usage_unregister_event,4420,4424,4420,289,/users/azibaeir/Research/Autotrace/results/CVE-2012-1146,/users/azibaeir/Research/Autotrace/logs/CVE-2012-1146.log
CVE-2014-9670,firstCol,Layer 1 hard reject,A,True,False,same_function_retry,True,True,False,False,7,hard_reject,pcf_get_encodings,859,control,"if ( FT_NEW_ARRAY( encoding, nencoding ) )",pcf_get_encodings,pcf_get_encodings,pcf_get_encodings,859,840,859,453,/users/azibaeir/Research/Autotrace/results/CVE-2014-9670,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9670.log
CVE-2014-9670,firstRow,Layer 1 hard reject,A,True,False,same_function_retry,True,True,False,False,7,hard_reject,pcf_get_encodings,859,control,"if ( FT_NEW_ARRAY( encoding, nencoding ) )",pcf_get_encodings,pcf_get_encodings,pcf_get_encodings,859,840,859,619,/users/azibaeir/Research/Autotrace/results/CVE-2014-9670,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9670.log
CVE-2014-9670,lastCol,Layer 1 hard reject,A,True,False,same_function_retry,True,True,False,False,7,hard_reject,pcf_get_encodings,859,control,"if ( FT_NEW_ARRAY( encoding, nencoding ) )",pcf_get_encodings,pcf_get_encodings,pcf_get_encodings,859,840,859,545,/users/azibaeir/Research/Autotrace/results/CVE-2014-9670,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9670.log
CVE-2014-9670,lastRow,Layer 1 hard reject,A,True,False,same_function_retry,True,True,False,False,6,hard_reject,pcf_get_encodings,859,control,"if ( FT_NEW_ARRAY( encoding, nencoding ) )",pcf_get_encodings,pcf_get_encodings,pcf_get_encodings,835,840,835,701,/users/azibaeir/Research/Autotrace/results/CVE-2014-9670,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9670.log
CVE-2018-17942,c_len,Layer 1 soft reject,A,True,True,outward_expansion,True,True,False,False,5,soft_reject,convert_to_decimal,897,memory_read,*d_ptr = '\0';,convert_to_decimal,convert_to_decimal,compile_csharp_class,883,901,883,1248,/users/azibaeir/Research/Autotrace/results/CVE-2018-17942,/users/azibaeir/Research/Autotrace/logs/CVE-2018-17942.log
CVE-2018-17942,extra_zeroes,Layer 1 soft reject,A,True,True,outward_expansion,True,True,False,False,5,soft_reject,convert_to_decimal,901,memory_read,*d_ptr = '\\0';,convert_to_decimal,convert_to_decimal,re_search_internal,863,901,863,1434,/users/azibaeir/Research/Autotrace/results/CVE-2018-17942,/users/azibaeir/Research/Autotrace/logs/CVE-2018-17942.log
CVE-2013-1415,serial,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,4,soft_reject,pkinit_check_kdc_pkid,3266,arithmetic,X509_NAME_free(is->issuer);,pkinit_check_kdc_pkid,pkinit_check_kdc_pkid,pkinit_check_kdc_pkid,3268,3267,3268,409,/users/azibaeir/Research/Autotrace/results/CVE-2013-1415,/users/azibaeir/Research/Autotrace/logs/CVE-2013-1415.log
CVE-2015-8662,ndeclevels,Layer 1 soft reject,A,True,True,same_function_retry,True,True,False,False,4,soft_reject,ff_dwt_decode,405,memory_write,int w     = s->linelen[s->ndeclevels - 1][0];,dwt_decode53,ff_dwt_decode,ff_dwt_decode,405,329,405,165,/users/azibaeir/Research/Autotrace/results/CVE-2015-8662,/users/azibaeir/Research/Autotrace/logs/CVE-2015-8662.log
CVE-2018-17942,nlimbs,Layer 1 soft reject,A,True,True,same_function_retry,True,True,False,False,4,soft_reject,convert_to_decimal,899,memory_read,*d_ptr = '\0';,convert_to_decimal,convert_to_decimal,convert_to_decimal,899,901,899,1709,/users/azibaeir/Research/Autotrace/results/CVE-2018-17942,/users/azibaeir/Research/Autotrace/logs/CVE-2018-17942.log
CVE-2019-11040,pos,Layer 1 soft reject,A,True,True,failure,False,True,False,False,4,soft_reject,php_jpg_get16,1437,memory_read,return (((uchar *)value)[0] << 8) | ((uchar *)valu,php_jpg_get16,exif_scan_thumbnail,,0,1437,3923,418,/users/azibaeir/Research/Autotrace/results/CVE-2019-11040,/users/azibaeir/Research/Autotrace/logs/CVE-2019-11040.log
CVE-2013-4591,acl_len,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,3,soft_reject,_copy_from_pages,3942,memory_write,"memcpy(p, vfrom + pgbase, copy);",_copy_from_pages,__nfs4_get_acl_uncached,__nfs4_get_acl_uncached,3941,289,3941,352,/users/azibaeir/Research/Autotrace/results/CVE-2013-4591,/users/azibaeir/Research/Autotrace/logs/CVE-2013-4591.log
CVE-2014-8176,data,Layer 1 soft reject,A,True,True,same_function_retry,True,True,False,False,3,soft_reject,dtls1_clear_queues,206,memory_read,frag = (hm_fragment *)item->data;,dtls1_clear_queues,dtls1_clear_queues,dtls1_clear_queues,205,206,205,485,/users/azibaeir/Research/Autotrace/results/CVE-2014-8176,/users/azibaeir/Research/Autotrace/logs/CVE-2014-8176.log
CVE-2014-9318,width,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,3,soft_reject,raw_decode,0,memory_write,buf += buf_size - context->frame_size;,raw_decode,raw_decode,raw_decode,196,255,196,390,/users/azibaeir/Research/Autotrace/results/CVE-2014-9318,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9318.log
CVE-2015-8900,size_t,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,3,soft_reject,ReadHDRImage,278,control,while ((c != '\n') && (c != '\0')),ReadHDRImage,ReadHDRImage,ReadHDRImage,281,277,281,847,/users/azibaeir/Research/Autotrace/results/CVE-2015-8900,/users/azibaeir/Research/Autotrace/logs/CVE-2015-8900.log
CVE-2016-7995,pg,Layer 1 hard reject,A,True,False,same_function_retry,True,True,False,True,3,hard_reject,ehci_process_itd,0,memory_read,return -1;  /* avoid page pg + 1 */,ehci_process_itd,ehci_process_itd,ehci_process_itd,1428,1429,1428,581,/users/azibaeir/Research/Autotrace/results/CVE-2016-7995,/users/azibaeir/Research/Autotrace/logs/CVE-2016-7995.log
CVE-2017-18079,port,Layer 1 hard reject,A,True,False,same_function_retry,True,True,False,True,3,hard_reject,i8042_interrupt,0,memory_read,if (likely(port->exists && !filtered)),i8042_interrupt,i8042_start; i8042_stop; i8042_interrupt,i8042_start,439,579,439,464,/users/azibaeir/Research/Autotrace/results/CVE-2017-18079,/users/azibaeir/Research/Autotrace/logs/CVE-2017-18079.log
CVE-2018-13785,png_ptr,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,3,soft_reject,png_check_chunk_length,3173,memory_read,if (png_ptr->height > PNG_UINT_32_MAX/row_factor),png_check_chunk_length,png_check_chunk_length,png_check_chunk_length,3172,3175,3172,626,/users/azibaeir/Research/Autotrace/results/CVE-2018-13785,/users/azibaeir/Research/Autotrace/logs/CVE-2018-13785.log
CVE-2018-13785,width,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,3,soft_reject,png_check_chunk_length,3171,memory_read,if (png_ptr->height > PNG_UINT_32_MAX/row_factor),png_check_chunk_length,png_check_chunk_length,png_check_chunk_length,3172,3175,3172,568,/users/azibaeir/Research/Autotrace/results/CVE-2018-13785,/users/azibaeir/Research/Autotrace/logs/CVE-2018-13785.log
CVE-2018-19841,meta_bc,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,3,soft_reject,WavpackVerifySingleBlock,1217,memory_read,meta_id = *dp++;,WavpackVerifySingleBlock,WavpackVerifySingleBlock,WavpackVerifySingleBlock,1217,1215,1217,423,/users/azibaeir/Research/Autotrace/results/CVE-2018-19841,/users/azibaeir/Research/Autotrace/logs/CVE-2018-19841.log
CVE-2018-8905,occ,Layer 1 soft reject,A,True,True,same_function_retry,True,True,False,False,3,soft_reject,LZWDecodeCompat,634,memory_read,*--tp = codep->value;,LZWDecodeCompat,LZWDecodeCompat,LZWDecodeCompat,634,761,634,776,/users/azibaeir/Research/Autotrace/results/CVE-2018-8905,/users/azibaeir/Research/Autotrace/logs/CVE-2018-8905.log
CVE-2011-3602,name,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,2,soft_reject,set_interface_var,249,unknown,"fp = fopen(spath, ""w"");",set_interface_var,set_interface_var,set_interface_var,246,249,246,506,/users/azibaeir/Research/Autotrace/results/CVE-2011-3602,/users/azibaeir/Research/Autotrace/logs/CVE-2011-3602.log
CVE-2013-7014,add_bytes_l2_c,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,2,soft_reject,add_bytes_l2_c,37,memory_read,*(long *)(dst + i) = ((a & pb_7f) + (b & pb_7f)) ^,add_bytes_l2_c,add_bytes_l2_c,add_bytes_l2_c,34,37,34,141,/users/azibaeir/Research/Autotrace/results/CVE-2013-7014,/users/azibaeir/Research/Autotrace/logs/CVE-2013-7014.log
CVE-2014-9496,count,Layer 1 soft reject,A,True,False,same_function_retry,True,True,False,False,2,soft_reject,uint2tenbytefloat,0,memory_write,bytes [1] = 29 - count ;,uint2tenbytefloat,uint2tenbytefloat,uint2tenbytefloat,330,1626,330,474,/users/azibaeir/Research/Autotrace/results/CVE-2014-9496,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9496.log
CVE-2014-9604,slice_height,Layer 1 hard reject,A,True,False,same_function_retry,True,True,False,True,2,hard_reject,restore_median,0,memory_write,bsrc[i] += A;,restore_median,restore_median; restore_median_il,restore_median,228,224,228,151,/users/azibaeir/Research/Autotrace/results/CVE-2014-9604,/users/azibaeir/Research/Autotrace/logs/CVE-2014-9604.log
